CountryCode,CountryName,FlagFilename,Text
ESP,Španělsko,Flag of Spain.svg,"Hlavním zdrojem elektřiny je zde stále ještě zemní plyn, v dalších letech však již bude na prvním místě vítr. Země má také sedm aktivních [jaderných reaktorů](https://www.foronuclear.org/en/nuclear-power/nuclear-power-in-spain/). Vzhledem ke své geografické lokalitě je Španělsko jednou ze zemí EU s největším solárním potenciálem, budování solárních kapacit však bylo tlumeno [politickými a právními spory](https://www.iisd.org/itn/en/2019/06/27/spains-renewable-energy-saga-lessons-for-international-investment-law-and-sustainable-development-isabella-reynoso/) týkajícími se nastavení finanční podpory a následnými právními spory. To vedlo k několikaleté stagnaci, kterou se podařilo narušit až v posledních třech letech. Nedostatečné propojení sítě se sousední Francií vede k tomu, že v rámci Evropy tvoří Španělsko společně s Portugalskem něco jako [energetický ostrov](https://apnews.com/article/russia-ukraine-business-europe-spain-portugal-e303d123755295d223bff8b304b5c0cd) (což během energetické krize v roce 2022 umožnilo těmto zemím se ve větší míře odstřihnout od evropského trhu s elektřinou)."
EST,Estonsko,Flag of Estonia.svg,"Estonsko má jednu z největších uhlíkových intenzit výroby elektřiny ze zemí EU. Většina elektřiny totiž pochází z [ropných břidlic](https://bankwatch.org/blog/estonia-s-dirty-secret-oil-shale), které se zde těží. Estonsko má vysoký poměr využití biomasy ze dřeva. Z obnovitelných zdrojů dále výrazně roste využití větrné energie."
FIN,Finsko,Flag of Finland.svg,"Největší část finské elektřiny produkuje pět [jaderných reaktorů](https://world-nuclear.org/information-library/country-profiles/countries-a-f/finland.aspx) a poslední reaktor v elektrárně Olkiluoto byl spuštěn teprve v roce 2022 (s téměř třináctiletým zpožděním oproti plánu). Díky rozsáhlým lesům je ve Finsku dalším významným zdrojem energie biomasa. Finsko je také jednou z mála zemí, která vyrábí elektřinu i z [rašeliny](https://phys.org/news/2020-12-finland-muddy-super-polluting-peat-energy.html), což je ale silně emisně náročný zdroj energie."
FRA,Francie,Flag of France.svg,"Francie má ze všech zemí největší podíl [jaderné energie](https://www.statista.com/statistics/270367/share-of-nuclear-power-in-the-power-supply-of-selected-countries/) – téměř 70 % elektřiny pochází z tohoto zdroje. Země začala budovat reaktory ve velkém po ropných krizích v 70. letech prostřednictvím energetického gigantu EDF, v němž má dodnes většinový podíl stát. Země spoléhá na 56 funkčních jaderných reaktorů, začíná však mít problémy spojené se stářím těchto zařízení a nedostatkem vody na chlazení v důsledku rekordních such v posledních letech, což se projevilo odstavením velkého počtu francouzských reaktorů v roce 2022 a dočasné ztráty tradiční pozice největšího evropského vývozce elektřiny."
GBR,Velká Británie,Flag of the United Kingdom (3-5).svg,"V současné době je zde hlavním zdrojem elektřiny zemní plyn. Téměř polovina pochází z domácí těžby a zbytek se [dováží](https://heatable.co.uk/boiler-advice/where-does-the-UK-get-its-gas-from) (převážně z Norska). Velké Británii se zároveň podařilo poměrně rychle odstoupit od výroby elektřiny z uhlí. Ještě před deseti lety tento zdroj dodával téměř 40 % potřebné elektřiny, dnes jsou to již pouhá 2 %. Nahrazován je převážně růstem kapacity větrných elektráren tvořících více než pětinu produkce a dále méně zastoupené biomasy a solární energie. Ve Velké Británii postupně klesá podíl [jaderné energie](https://world-nuclear.org/information-library/country-profiles/countries-t-z/united-kingdom.aspx) vyrobené v devíti aktivních reaktorech – v současnosti nicméně probíhá výstavba jaderné elektrárny Hinkley Point C a plánují se další elektrárny, jako např. Sizewell C. Vláda chce dosáhnout [25% podílu jádra](https://www.gov.uk/government/news/nuclear-energy-what-you-need-to-know) v roce 2050."
GRC,Řecko,Flag of Greece.svg,"Nejvíce řecké elektřiny dnes pochází ze zemního plynu, který postupně nahrazoval uhlí. V současné době je [uhelný phase-out](/infografiky/uhelny-phaseout-eu) plánován na rok 2028, ovšem Řecko aktuálně staví novou uhelnou elektrárnu Ptolemaida V. Mnoho řeckých ostrovů dodnes není připojeno k řecké síti s elektřinou a jsou závislé na produkci elektřiny z ropných generátorů. Dalším výrazně rostoucím zdrojem v zemi je vítr."
HRV,Chorvatsko,Flag of Croatia.svg,"Nejdůležitějším zdrojem elektřiny jsou pro Chorvatsko vodní elektrárny, které tvoří téměř polovinu produkce. Země dále spoluvlastní jadernou elektrárnu [Krško](https://bankwatch.org/beyond-fossil-fuels/the-energy-sector-in-croatia) ve Slovinsku, z níž odebírá elektřinu. Kvůli nedostatku podpůrné legislativy pro výrobu elektřiny ze solárních panelů využívalo Chorvatsko navzdory své geografické poloze sluneční energii poměrně málo a situace se [zlepšuje](https://mio-ecsde.org/croatia-takes-major-step-towards-solar-energy/) teprve v posledních několika letech. Doposud se rychleji rozvíjela větrná energie."
HUN,Maďarsko,Flag of Hungary.svg,"Klíčovým zdrojem elektřiny pro Maďarsko je [jaderná elektrárna](https://world-nuclear.org/information-library/country-profiles/countries-g-n/hungary.aspx) Paks se svými čtyřmi reaktory, která je v současné době rozšiřovaná o další dva reaktory na základě dohody mezi maďarským státem a Rosatomem, který v srpnu 2022 získal potřebné povolení k výstavbě (s výhledem dokončení prací v roce 2030). Dalším významným zdrojem je zemní plyn. V Maďarsku lze ovšem vidět i výrazný nárůst produkce elektřiny ze solárních panelů, zejména v posledních čtyřech letech."
CHN,Čína,Flag of the People's Republic of China.svg,"Čína se v rámci svého ekonomického vzestupu stala výrazným průmyslovým výrobcem a [plná elektrifikace země](https://chinadialogue.net/en/energy/9934-three-lessons-from-china-s-effort-to-bring-electricity-to-1-4-billion-people/) proběhla v roce 2015. Hlavním zdrojem, na který se Čína spoléhá, je jednoznačně uhlí. Jeho podíl sice postupně mírně klesá, ale stále dodává přes 60 % elektřiny. Produkce elektřiny z uhlí by měla podle plánů začít klesat v roce [2026](https://www.reuters.com/world/china/china-no-closer-peak-coal-despite-record-renewable-capacity-additions-2022-08-22/). Zároveň stále dochází k intenzivní výstavbě [nových uhelných elektráren](https://www.bloomberg.com/news/articles/2023-01-20/china-to-speed-up-construction-of-coal-power-plants-this-year), přestože více nové kapacity přidávají nové solární elektrárny. Významným zdrojem elektřiny jsou vodní elektrárny – v Číně se nacházejí Tři soutěsky, které jsou největší vodní elektrárnou na světě. Čína zároveň disponuje [84 % světových výrobních kapacit](https://www.visualcapitalist.com/visualizing-chinas-dominance-in-the-solar-panel-supply-chain/) k produkci solárních panelů a je v této oblasti jednoznačným lídrem. Podobnou dynamiku lze vidět i u [jaderných elektráren](https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/china-nuclear-power.aspx), k jejichž rozvoji v Číně dochází, a o jaderných technologiích se zároveň přemýšlí jako o produktu pro export. Přechod na obnovitelné zdroje v Číně [vyžaduje výrazné investice do přenosové sítě](https://e360.yale.edu/features/why-chinas-renewable-energy-transition-is-losing-momentum), jelikož nejvhodnější lokality pro solární i větrné elektrárny jsou často tisíce kilometrů od populačních center. V Číně se také nachází [největší větrná farma](https://discovercleantech.com/ten-gigantic-wind-farms/) na světě s aktuální kapacitou 10 GW."
IND,Indie,Flag of India.svg,"Indie prochází v posledních desetiletích značným ekonomickým vývojem, který s sebou nese výrazný růst poptávky po elektřině. Vzhledem ke stavu rozvoji země je tento proces v mnohém komplikovaný a vyskytují se [problémy se stabilitou dodávek](https://time.com/6173769/india-heatwave-climate-change-coal/), například v důsledku vln veder. Dochází ovšem i k úspěchům v [rozšiřování dostupnosti elektřiny](https://www.iea.org/reports/india-energy-outlook-2021/energy-in-india-today) – za posledních dvacet let bylo k síti připojeno 900 milionů lidí. Téměř tři čtvrtiny produkce elektřiny pocházejí z uhlí a očekává se, že závislost na uhlí bude pokračovat i do budoucna. [Uhlí](https://www.brookings.edu/blog/planetpolicy/2019/03/08/coal-is-king-in-india-and-will-likely-remain-so/) hraje v Indii významnou roli – pro mnoho chudších indických států je státní firma Coal India Limited klíčovým zdrojem příjmů a důležitým zaměstnavatelem. Poplatky za převoz uhlí po železnici zároveň slouží jako křížová dotace v tom smyslu, že snižují ceny běžným cestujícím. Indie má ambiciózní plány na instalaci obnovitelných zdrojů a plánuje ztrojnásobit kapacitu [jaderných elektráren](https://world-nuclear.org/information-library/country-profiles/countries-g-n/india.aspx). V zemi se nachází [největší solární park](https://ornatesolar.com/blog/the-5-largest-solar-power-plants-in-the-world) na světě s instalovanou kapacitou 2245 MW a deseti miliony solárních panelů. Prioritou je ovšem stále ekonomický rozvoj a potlačování chudoby, proto omezování uhelných elektráren může být do budoucna spojeno spíše s bojem proti znečištění ovzduší [(74)](https://www.brookings.edu/blog/planetpolicy/2019/03/08/coal-is-king-in-india-and-will-likely-remain-so/). Oproti současnému stavu může být podle některých scénářů produkce elektřiny v Indii v roce 2050 čtyř- až pětinásobná [(75)](https://www.bp.com/en/global/corporate/energy-economics/energy-outlook/country-and-regional-insights/india-insights.html)."
IRL,Irsko,Flag of Ireland.svg,"Irsko vyvíjelo v minulosti značnou aktivitu v oblasti větrné energie, proto je dnes téměř třetina spotřeby země pokryta tímto zdrojem. Pro energetické účely se tradičně využívala i rašelina, nyní se však od ní ve velkém [ustupuje](https://www.science.org/content/article/power-peat-more-polluting-coal-its-way-out-ireland). Nejvýznamnějším zdrojem zůstává [zemní plyn](https://www.privacyshield.gov/article?id=Ireland-Energy-Oil-Gas): část se v Irsku těží a zbytek pochází převážně z Velké Británie."
ITA,Itálie,Flag of Italy.svg,"Itálie je výrazně závislá na [výrobě elektřiny z plynu](https://www.statista.com/statistics/787720/natural-gas-imports-by-country-of-origin-in-italy/), který dováží převážně z Ruska a Alžírska. V roce 1987 proběhlo referendum, v němž se italští občané vyslovili proti jádru, což vedlo k odstavení již postavených [jaderných elektráren](https://world-nuclear.org/information-library/country-profiles/countries-g-n/italy.aspx). Itálie byla v roce 2019 [největší dovozce elektřiny](https://www.powerengineeringint.com/gas-oil-fired/france-is-2019s-biggest-electricity-exporter-italy-the-largest-importer/) v Evropě a dovážela 21,3% elektřiny od sousedních států. Produkce elektřiny z větrných a solárních elektráren v posledním desetiletí roste poměrně pomalu, a tak jsou dnes hlavním obnovitelným zdrojem v Itálii vodní elektrárny."
JPN,Japonsko,Flag of Japan.svg,"Více než dvě třetiny elektřiny pocházejí ze zemního plynu a uhlí (podíl obou v celkovém mixu je podobný). Japonsko je [největším dovozcem zkapalněného zemního plynu](https://www.naturalgasworld.com/japan-again-become-worlds-biggest-lng-importer-103243) na světě. [Jaderný sektor](https://world-nuclear.org/information-library/country-profiles/countries-g-n/japan-nuclear-power.aspx) v zemi prochází od havárie v elektrárně Fukušima v roce 2011 turbulentními změnami – šlo o druhou největší jadernou havárii v historii (po Černobylu). Před havárií dodávaly jaderné elektrárny téměř třetinu elektřiny, po ní docházelo k odstavování reaktorů. Tento trend se nicméně v posledních letech mění a některé jaderné elektrárny jsou spouštěny znovu (celkem dnes dodávají cca 6 % elektřiny). Plány na opětovné spouštění jaderných reaktorů se zrychlily po útoku Ruska na Ukrajinu, ovšem otázka jaderných elektráren je v Japonsku stále velmi citlivé politické téma. Růst obnovitelných zdrojů probíhá převážně v oblasti solární energie. Zároveň má Japonsko potenciál stát se jedním z největších světových producentů elektřiny z větru – doposud byl však její rozvoj tlumen neadekvátní politickou podporou, nedostatečnou infrastrukturou a [velkou hloubkou pobřežních vod](https://www.nature.com/articles/d42473-022-00217-8)."
KEN,Keňa,Flag of Kenya.svg,"V této zemi jsou v mixu výroby elektřiny významně zastoupeny nízkouhlíkové zdroje. Největším zdrojem, s více než 40% podílem, je pro Keňu [geotermální energie](https://www.rapidtransition.org/stories/doing-development-differently-how-kenya-is-rapidly-emerging-as-africas-renewable-energy-superpower/). Země dříve spoléhala i na vodní elektrárny a v posledních letech zde především výrazně narůstá kapacita elektráren větrných – v zemi se nachází [největší větrná farma v Africe](https://en.wikipedia.org/wiki/Lake_Turkana_Wind_Power_Station). Keňa rychle postupuje v elektrifikaci země a připojování svých občanů k síti, přesto přístup k elektřině stále nemají všichni. [K síti také zatím není připojeno](https://centurionlg.com/2022/02/01/renewable-energy-growth-in-kenya/), mnoho instalovaných solárních panelů, zejména v odlehlých oblastech. Plány na výstavbu první keňské uhelné elektrárny byly nakonec v roce 2019 [zrušeny](https://chinadialogue.net/en/energy/lamu-kenyan-coal-project-chinese-investors-take-environmental-risks-seriously/) v důsledku soudního sporu, který se týkal špatně provedené studie o environmentálních a sociálních dopadech projektu."
LTU,Litva,Flag of Lithuania.svg,"Dříve Litva získávala až 83 % elektřiny ze dvou jaderných reaktorů v elektrárně Ignalina, v letech 2004 a 2009 však byly reaktory uzavřeny, čímž došlo k velmi výraznému poklesu produkce elektřiny (z přibližně 17 TWh na dnešní 4 TWh), a Litva tak dnes cca 70 % elektřiny dováží – k významnému navýšení produkce z jiných zdrojů totiž nedošlo. [Hlavními zdroji](https://iea.blob.core.windows.net/assets/4d014034-0f94-409d-bb8f-193e17a81d77/Lithuania_2021_Energy_Policy_Review.pdf) jsou nyní zemní plyn a vítr. Jedná se o jedinou zemi EU, kde se uhlíková intenzita od roku 2000 významně zvýšila."
LUX,Lucembursko,Flag of Luxembourg.svg,Lucembursko bylo ještě okolo roku 2012 z téměř 90 % závislé na zemním plynu. Od jeho využívání však v průběhu let do velké míry [odstoupilo](https://iea.blob.core.windows.net/assets/8875d562-756c-414c-bc7e-5fc115b1a38c/Luxembourg_2020_Energy_Policy_Review.pdf). Navzdory rozvoji v oblasti obnovitelných zdrojů musí nicméně tato země i dnes 81 % potřebné elektřiny dovážet ze sousedních států.
LVA,Lotyšsko,Flag of Latvia.svg,"Nejvíce lotyšské elektřiny pochází z vodních elektráren, zejména tří největších na řece Daugava. Dalším významným zdrojem je zemní plyn. Rozvoj obnovitelných zdrojů se týkal především biomasy. Zároveň je Lotyšsko jednou ze zemí, kde mírně stoupla uhlíková intenzita za posledních 20 let."
MAR,Maroko,Flag of Morocco.svg,"Hlavním zdrojem elektřiny v Maroku je uhlí, jehož spotřeba v posledních letech stoupá. Dalšími zdroji elektřiny jsou zemní plyn a topné oleje. Maroko se zároveň profiluje jako země s výraznými plány na výstavbu obnovitelných zdrojů vzhledem k vhodným přírodním podmínkám. V zemi se nachází [největší koncentrovaná solární elektrárna](https://www.bbc.com/future/article/20211115-how-morocco-led-the-world-on-clean-solar-energy) na světě. Výstavba obnovitelných zdrojl souvisí i se snahou exportovat elektřinu do Evropy. V současnosti se plánuje nejdelší přenosový kabel na světě, který by [propojil Maroko s Velkou Británií](https://www.bbc.com/news/business-58909259). Velkolepé plány na export elektřiny do Evropy ovšem v minulosti vícekrát [selhaly](https://ecfr.eu/publication/sunny-side-up-maximising-the-european-green-deals-potential-for-north-africa-and-europe/) – příkladem může být iniciativa Desertec, která měla za cíl dovážet solární elektřinu z Maroka do Evropy, ale potýkala se s výraznými problémy. V Maroku plánují postavit [první jadernou elektrárnu](https://www.moroccoworldnews.com/2022/10/351817/russia-to-support-morocco-in-nuclear-energy-sector), přičemž nejpravděpodobnějším partnerem se jeví být ruský Rosatom."
MLT,Malta,Flag of Malta.svg,"Malta je převážně závislá na [zemním plynu](https://www.enemalta.com.mt/about-us/history-of-electricity/), který začala ve velkém využívat v roce 2016 namísto produkce elektřiny z ropy. Od roku 2015 je tato země energeticky [propojena s Itálií](https://maltaprofile.info/directory-article/italian-and-maltese-prime-ministers-inaugurate-the-malta-italy-interconnector). I přes relativně velký potenciál větru Malta tento zdroj v současnosti nevyužívá a investovala spíše do solární elektřiny (i zde nicméně není potenciál země ani zdaleka využit)."
NLD,Nizozemsko,Flag of the Netherlands.svg,"Nizozemsko je [největším producentem](https://ec.europa.eu/eurostat/statistics-explained/SEPDF/cache/10590.pdf) zemního plynu v EU. Historicky byl zemní plyn důležitou součástí nizozemské energetiky i ekonomiky, bylo však rozhodnuto o útlumu těžby z významného Groningenského ložiska, převážně kvůli [zemětřesení](https://www.bloomberg.com/news/articles/2022-10-06/dutch-close-europe-s-biggest-gas-field-despite-energy-crisis), jež oblast v důsledku těžby sužovaly. Budoucnost konce těžby plyny je v souvislosti s energetickou krizí nejistá. Nizozemsko je v důsledku rozvinuté infrastruktury dodnes jedním z hlavních evropských center i pro obchodování se zemním plynem či dovoz a následný transport zkapalněného plynu z jiných zemí. Vzhledem ke své geografické lokalitě se jako nejperspektivnější zdroj do budoucna jeví větrné elektrárny. Kromě toho nizozemská vláda plánuje i [dva nové jaderné bloky](https://www.stibbe.com/publications-and-insights/the-future-of-nuclear-energy-in-the-netherlands)."
NOR,Norsko,Flag of Norway.svg,"Norsko má elektřinu převážně z vodních elektráren, které pokrývají přes 90 % spotřeby země. V posledních letech dochází i k většímu využívání větrné energie. Přestože Norsko není členem EU, je [významným vývozcem elektřiny](https://www.power-technology.com/features/how-norway-became-europes-biggest-power-exporter/) do zemí Unie."
POL,Polsko,Flag of Poland.svg,"Polsko je nadále silně závislé na uhlí a najdeme zde i [největší uhelnou elektrárnu](https://www.statista.com/statistics/1264199/largest-operational-coal-power-plants-by-capacity-in-the-eu-27/) v EU (poblíž města Bełchatów). Uhlí má dosud velkou podporu mezi politiky a odbory. Polská vláda společně s odbory podepsala [dohodu](https://www.cire.pl/artykuly/serwis-informacyjny-cire-24/175624-podpisano-porozumienie-w-sprawie-zasad-i-tempa-transformacji-gornictwa), ve které přislíbila podporovat těžbu uhlí až do roku 2049. Polsko dále vnímá hrozbu závislosti na ruském plynu, proto investovalo do strategických projektů s cílem zvýšit možnou kapacitu dovozu zkapalněného plynu, například přes [LNG terminál ve Świnoujście](https://warsawinstitute.review/news-en/the-importance-of-the-swinoujscie-lng-terminal-in-light-of-the-energy-crisis-in-europe/). Země v posledních letech rovněž významně rozvíjí větrné a solární zdroje. Dlouhodobým strategickým cílem v energetice je i postavení první [polské jaderné elektrárny](https://world-nuclear.org/information-library/country-profiles/countries-o-s/poland.aspx), nicméně budoucnost tohoto projektu zůstává nejistá."
PRT,Portugalsko,Flag of Portugal.svg,"Téměř třetina domácí produkce elektřiny je ze zemního plynu. V Portualsku ale zároveň výrazně přibývá obnovitelných zdrojů, zejména vítr má již více než čtvrtinový podíl. Větrné elektrárny se v zemi ve velkém rozvíjely především po roce 2004. Portugalsko poměrně rychle [odstoupilo od uhlí](/infografiky/uhelny-phaseout-eu) a ke konci roku 2021 uzavřelo svou poslední uhelnou elektrárnu (několik let před původně plánovaným datem). Elektřina z vodních elektráren tvoří téměř čtvrtinu domácí produkce, existují však poměrně velké meziroční výkyvy, zejména v poslední době v důsledku rekordních [such](https://www.reuters.com/business/environment/drought-prompts-portugal-restrict-water-use-more-hydropower-dams-2022-09-27/)."
ROU,Rumunsko,Flag of Romania.svg,"Rumunsko je [druhým největším producentem zemního plynu](https://www.blue-europe.eu/analysis-en/country-analysis/romanian-energy-sector-how-current-events-might-foster-its-development/) v EU. Historicky to byl i jeden z hlavních evropských producentů ropy, v průběhu let však došlo k poměrně velkému poklesu těžby a ten nastal i u zemního plynu. Země má [dva jaderné reaktory](https://world-nuclear.org/information-library/country-profiles/countries-o-s/romania.aspx), které byly zprovozněny v letech 1993 a 2007. Vzhledem ke své geografické poloze využívá Rumunsko ve větší míře i potenciál vodní energie. Konec výroby z uhlí by měl nastat v roce [2032](/infografiky/uhelny-phaseout-eu)."
SVK,Slovensko,Flag of Slovakia.svg,"Nejvíce elektřiny se na Slovensku vyrábí v [jaderných elektrárnách](https://world-nuclear.org/information-library/country-profiles/countries-o-s/slovakia.aspx) Jaslovské Bohunice a Mochovce. Slovensko momentálně rozšiřuje jadernou elektrárnu Mochovce o další dva reaktory. Dalším významným producentem jsou vodní elektrárny, zejména vodní díla Gabčíkovo a Čierný Váh. Rozvoj obnovitelných zdrojů na Slovensku byl v posledních letech zastaven [stop-stavem](https://www.energie-portal.sk/Dokument/stop-stav-po-rokoch-konci-do-sustavy-sa-moze-pripojit-400-mw-novych-zelenych-zdrojov-107026.aspx) na připojování nových zdrojů elektřiny do sítě, který byl zrušen teprve v roce 2021. Tato stagnace lze vidět zejména u větrné energie."
